Name,Team,G,PA,HR,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,xwOBA,wRC+,BsR,Off,Def,WAR,playerid
Tyrone Taylor,MIL,93,271,12,6,7.40%,21.80%,0.21,0.277,0.247,0.321,0.457,0.333,0.313,106,0.5,2.5,3,1.5,13675
Ryan Mountcastle,BAL,144,586,33,4,7.00%,27.50%,0.232,0.297,0.255,0.309,0.487,0.335,0.326,111,-1.2,6.6,-12.2,1.4,18373
Wil Myers,SDP,146,500,17,8,10.80%,28.20%,0.179,0.333,0.256,0.334,0.434,0.33,0.296,109,0.5,6.5,-9,1.4,10047
Danny Jansen,TOR,70,205,11,0,8.30%,21.50%,0.25,0.233,0.223,0.299,0.473,0.329,0.332,105,-0.5,0.7,6.4,1.4,16535
Francisco Mejia,TBR,84,277,6,0,6.10%,17.70%,0.156,0.299,0.26,0.322,0.416,0.32,0.285,108,-0.5,2,2.5,1.4,16403
Connor Joe,COL,63,211,8,0,12.30%,19.40%,0.184,0.323,0.285,0.379,0.469,0.366,0.371,116,1.1,5.4,1.4,1.4,16572
Brett Gardner,NYY,140,461,10,4,13.00%,21.70%,0.14,0.269,0.222,0.327,0.362,0.305,0.294,93,3.3,-0.6,-1.3,1.4,9927
Tyler Naquin,CIN,127,454,19,5,7.70%,23.30%,0.207,0.318,0.27,0.333,0.477,0.345,0.339,110,-0.8,5.1,-6.3,1.4,13359
Josh Bell,WSN,144,568,27,0,11.40%,17.80%,0.215,0.276,0.261,0.347,0.476,0.352,0.366,118,-6,7.1,-12.2,1.4,13145
Manuel Margot,TBR,125,464,10,13,8.00%,15.10%,0.128,0.281,0.254,0.313,0.382,0.301,0.318,95,1.6,-1.2,-0.9,1.4,14712
Reese McGuire,TOR,78,217,1,0,6.90%,20.30%,0.091,0.318,0.253,0.31,0.343,0.289,0.28,78,0.8,-5.1,11.2,1.3,15674
Franmil Reyes,CLE,115,466,30,4,9.20%,32.00%,0.268,0.314,0.254,0.324,0.522,0.354,0.35,125,-5.8,8.8,-11.2,1.3,14566
Nick Madrigal,CHW,54,215,2,1,5.10%,7.90%,0.12,0.324,0.305,0.349,0.425,0.335,0.289,113,1.2,4.7,1.3,1.3,20521
Ian Happ,CHC,148,535,25,9,11.60%,29.20%,0.209,0.281,0.226,0.323,0.434,0.328,0.318,103,0.2,2.4,-6.8,1.3,17919
Brian Anderson,MIA,67,264,7,5,9.80%,24.60%,0.129,0.317,0.249,0.337,0.378,0.314,0.299,99,0.4,0.2,3.7,1.3,18289
Wilmer Flores,SFG,139,436,18,1,9.40%,12.80%,0.185,0.264,0.262,0.335,0.447,0.337,0.312,113,-4,3.4,-5.3,1.2,5827
Jesus Aguilar,MIA,131,510,22,0,9.00%,18.20%,0.198,0.279,0.261,0.329,0.459,0.334,0.33,112,-3.4,4.5,-8.9,1.2,11342
Abraham Toro,- - -,95,375,11,6,8.30%,14.40%,0.134,0.254,0.239,0.315,0.373,0.303,0.321,95,-0.1,-2.5,2,1.2,19844
Andrew McCutchen,PHI,144,574,27,6,14.10%,23.00%,0.222,0.242,0.222,0.334,0.444,0.335,0.344,107,1.5,6.8,-13.6,1.2,9847
Tucker Barnhart,CIN,116,388,7,0,7.50%,25.80%,0.121,0.324,0.247,0.317,0.368,0.3,0.264,81,-0.1,-9.4,8.6,1.2,10200
Christian Arroyo,BOS,57,181,6,1,4.40%,24.30%,0.183,0.325,0.262,0.324,0.445,0.332,0.298,106,1.5,2.9,2.8,1.2,16434
Ben Gamel,- - -,122,400,8,3,12.80%,26.30%,0.141,0.329,0.247,0.347,0.388,0.322,0.316,101,-0.5,0.2,-1.6,1.2,12160
Adam Engel,CHW,39,140,7,7,7.90%,22.10%,0.244,0.279,0.252,0.336,0.496,0.354,0.343,127,1,5.5,1.5,1.2,15082
Nick Solak,TEX,127,511,11,7,6.70%,20.90%,0.12,0.292,0.242,0.314,0.362,0.299,0.298,89,0.4,-6.3,0.1,1.1,19294
Donovan Solano,SFG,101,344,7,2,7.30%,16.90%,0.124,0.321,0.28,0.344,0.404,0.324,0.335,105,-0.2,2,-2.3,1.1,8623
Garrett Cooper,MIA,71,250,9,1,12.00%,27.20%,0.181,0.374,0.284,0.38,0.465,0.367,0.361,134,-4,6.7,-4.1,1.1,15279
David Peralta,ARI,150,538,8,2,8.60%,17.10%,0.144,0.303,0.259,0.325,0.402,0.314,0.293,93,2,-2.5,-4.4,1.1,2136
Jason Castro,HOU,66,179,8,0,14.00%,30.20%,0.208,0.31,0.235,0.356,0.443,0.347,0.375,123,-1,4.1,0.5,1.1,8722
Jake Meyers,HOU,49,163,6,3,6.10%,30.70%,0.178,0.352,0.26,0.323,0.438,0.328,0.321,111,1.9,4,1.1,1.1,20308
Elvis Andrus,OAK,146,541,3,12,5.70%,15.00%,0.076,0.283,0.243,0.294,0.32,0.27,0.307,72,4.5,-13.8,6,1.1,8709
Odubel Herrera,PHI,124,492,13,6,5.90%,15.70%,0.156,0.285,0.26,0.31,0.416,0.312,0.3,93,0.3,-4.2,-1.5,1.1,11476
Seth Brown,OAK,111,307,20,4,7.50%,29.00%,0.267,0.23,0.214,0.274,0.48,0.315,0.318,103,0,1,-0.9,1.1,18171
Jonah Heim,TEX,82,285,10,3,5.30%,20.40%,0.162,0.21,0.196,0.239,0.358,0.256,0.284,60,-0.9,-14.7,15.6,1.1,16930
Bradley Zimmer,CLE,99,348,8,15,8.60%,35.10%,0.117,0.347,0.227,0.325,0.344,0.3,0.316,89,2,-2.8,1.5,1.1,16221
Jose Iglesias,- - -,137,511,9,5,4.10%,14.70%,0.12,0.305,0.271,0.309,0.391,0.304,0.296,91,-0.2,-6.1,-0.9,1,10231
Eric Haase,DET,98,381,22,2,6.80%,31.20%,0.228,0.278,0.231,0.286,0.459,0.316,0.322,100,-0.7,-0.8,-1.8,1,14111
Andy Ibanez,TEX,76,272,7,0,5.50%,12.90%,0.158,0.297,0.277,0.321,0.435,0.325,0.319,107,-0.8,1.4,-0.4,1,18819
Gavin Lux,LAD,102,381,7,4,10.80%,21.80%,0.122,0.3,0.242,0.328,0.364,0.303,0.323,91,3.8,-0.6,-1.8,1,19955
Jake Rogers,DET,38,127,6,1,8.70%,36.20%,0.257,0.344,0.239,0.306,0.496,0.339,0.299,115,1,3.3,2.4,1,19452
Brad Miller,PHI,140,377,20,3,11.90%,29.70%,0.227,0.276,0.227,0.321,0.453,0.331,0.345,105,0.6,3.1,-5.5,1,12775
Yadier Molina,STL,121,473,11,3,5.10%,16.70%,0.118,0.283,0.252,0.297,0.37,0.29,0.305,83,-5.3,-15.4,9.6,1,7007
Gio Urshela,NYY,116,442,14,1,4.50%,24.70%,0.152,0.329,0.267,0.301,0.419,0.309,0.304,96,-6,-8.2,3,1,10681
Tom Murphy,SEA,97,325,11,0,12.30%,30.50%,0.148,0.265,0.202,0.304,0.35,0.291,0.29,87,-0.3,-5.3,3.9,1,13499
Brandon Marsh,LAA,70,260,2,6,7.70%,35.00%,0.102,0.403,0.254,0.317,0.356,0.296,0.324,86,3.5,-1,1.8,1,20202
Austin Nola,SDP,56,194,2,0,7.20%,9.80%,0.104,0.292,0.272,0.34,0.376,0.316,0.299,100,0.2,0.2,3,1,15941
Tyler Wade,NYY,103,145,0,17,11.00%,25.50%,0.055,0.378,0.268,0.354,0.323,0.304,0.248,92,2.8,1.5,2.8,0.9,15730
Aledmys Diaz,HOU,84,319,8,0,5.00%,19.40%,0.146,0.304,0.259,0.317,0.405,0.311,0.318,99,-2.8,-3.3,1.5,0.9,15937
Ji-Man Choi,TBR,83,305,11,0,14.80%,28.50%,0.182,0.3,0.229,0.348,0.411,0.334,0.34,117,-0.9,5.6,-6.9,0.9,5452
Eddie Rosario,- - -,111,412,14,11,6.30%,14.80%,0.177,0.273,0.259,0.305,0.435,0.316,0.318,98,1.1,0.2,-5.1,0.9,12155
Tomas Nido,NYM,58,161,3,1,3.10%,27.30%,0.105,0.292,0.222,0.261,0.327,0.254,0.289,63,-2.1,-9.8,13.2,0.9,13755
Jed Lowrie,OAK,139,512,14,0,9.60%,21.10%,0.153,0.289,0.245,0.318,0.398,0.311,0.342,100,-1.6,-1.4,-7.5,0.9,4418
Jace Peterson,MIL,94,302,6,10,12.60%,22.50%,0.12,0.31,0.247,0.348,0.367,0.318,0.321,97,4.3,3,-4.5,0.9,12325
Thairo Estrada,SFG,52,132,7,1,6.80%,17.40%,0.207,0.286,0.273,0.333,0.479,0.346,0.312,119,1.3,4.5,-0.3,0.9,16426
Nico Hoerner,CHC,44,170,0,5,10.00%,14.70%,0.067,0.36,0.302,0.382,0.369,0.33,0.32,104,-0.7,0.2,2.7,0.8,21479
Matt Beaty,LAD,120,234,7,2,8.50%,18.80%,0.132,0.314,0.27,0.363,0.402,0.339,0.307,114,0.4,4.7,-4.3,0.8,17710
Michael Conforto,NYM,125,479,14,1,12.30%,21.70%,0.153,0.276,0.232,0.344,0.384,0.322,0.35,106,-1.4,2.4,-10.1,0.8,16376
Bryan De La Cruz,MIA,58,219,5,1,8.20%,24.20%,0.131,0.38,0.296,0.356,0.427,0.339,0.302,115,-1.3,3,-2.4,0.8,19600
Austin Barnes,LAD,77,225,6,1,8.90%,24.90%,0.13,0.268,0.215,0.299,0.345,0.285,0.274,79,0,-6,6.3,0.8,12158
Andres Gimenez,CLE,68,210,5,11,5.20%,25.70%,0.133,0.273,0.218,0.282,0.351,0.277,0.268,73,2.6,-4.2,4.7,0.8,19950
Corey Dickerson,- - -,109,365,6,6,6.80%,18.60%,0.137,0.323,0.271,0.326,0.408,0.317,0.3,100,-1.3,-1.4,-3.2,0.8,10762
Kevin Pillar,NYM,124,347,15,4,3.20%,23.30%,0.185,0.261,0.231,0.277,0.415,0.297,0.281,90,0.7,-3.6,-0.8,0.7,12434
Bobby Dalbec,BOS,133,453,25,2,6.20%,34.40%,0.254,0.316,0.24,0.298,0.494,0.334,0.344,107,-0.4,3.7,-12.3,0.7,19966
Alejandro Kirk,TOR,60,189,8,0,10.10%,11.60%,0.194,0.234,0.242,0.328,0.436,0.33,0.377,106,-1.7,-0.4,0.4,0.7,22581
Anthony Rendon,LAA,58,249,6,0,11.60%,16.50%,0.143,0.267,0.24,0.329,0.382,0.31,0.304,95,-1.1,-2.5,0.6,0.7,12861
Anthony Santander,BAL,110,438,18,1,5.30%,23.10%,0.192,0.275,0.241,0.286,0.433,0.307,0.328,92,1.2,-3.3,-5,0.6,14551
Trey Mancini,BAL,147,616,21,0,8.30%,23.20%,0.176,0.308,0.255,0.326,0.432,0.326,0.34,105,-5.3,-1.8,-12.7,0.6,15149
Jorge Alfaro,MIA,92,311,4,8,3.50%,31.80%,0.098,0.354,0.244,0.283,0.342,0.274,0.291,73,0,-10.6,6.7,0.6,12180
Rougned Odor,NYY,102,361,15,0,7.50%,27.70%,0.177,0.242,0.202,0.286,0.379,0.289,0.288,83,1.6,-6.1,0.2,0.6,12282
Ryan Jeffers,MIN,85,293,14,0,7.50%,36.90%,0.202,0.269,0.199,0.27,0.401,0.289,0.3,82,-2.3,-8.9,5.3,0.6,24618
Ronald Torreyes,PHI,112,344,7,2,5.50%,11.90%,0.104,0.258,0.242,0.286,0.346,0.274,0.257,68,1.3,-12.7,7.7,0.6,11400
Jose Trevino,TEX,89,302,5,1,4.00%,18.90%,0.102,0.279,0.239,0.267,0.34,0.261,0.285,64,-5.5,-18.9,15,0.6,16725
Tres Barrera,WSN,30,107,2,0,11.20%,20.60%,0.121,0.328,0.264,0.374,0.385,0.333,0.311,106,0.1,0.9,1.8,0.6,19977
Jesus Sanchez,MIA,64,251,14,0,8.00%,31.10%,0.238,0.316,0.251,0.319,0.489,0.339,0.337,116,-2.9,2.1,-4.2,0.6,19913
Adalberto Mondesi,KCR,35,136,6,15,4.40%,31.60%,0.222,0.299,0.23,0.271,0.452,0.306,0.314,91,2.5,1,0.3,0.6,13769
Ha-seong Kim,SDP,117,298,8,6,7.40%,23.80%,0.15,0.241,0.202,0.27,0.352,0.27,0.265,70,1.4,-9.9,6,0.6,27506
Travis d'Arnaud,ATL,60,229,7,0,7.40%,23.10%,0.167,0.26,0.22,0.284,0.388,0.291,0.312,78,-1.1,-7.5,5.8,0.6,7739
Lars Nootbaar,STL,58,124,5,2,10.50%,22.60%,0.183,0.273,0.239,0.317,0.422,0.316,0.285,101,1.4,1.5,0.3,0.6,21454
Kyle Higashioka,NYY,67,211,10,0,8.10%,28.00%,0.207,0.2,0.181,0.246,0.389,0.272,0.34,71,-1.7,-9.2,7.9,0.6,5517
Jack Mayfield,- - -,87,290,10,5,5.90%,23.40%,0.169,0.254,0.218,0.272,0.387,0.284,0.248,79,0.1,-7.5,3.4,0.6,15402
Hanser Alberto,KCR,103,255,2,3,1.60%,10.20%,0.133,0.293,0.27,0.291,0.402,0.296,0.294,84,1.4,-3.4,0.4,0.6,11902
Charlie Culberson,TEX,91,271,5,7,6.30%,23.60%,0.138,0.307,0.243,0.296,0.381,0.292,0.27,85,1.9,-3.2,-0.4,0.6,3298
Oscar Mercado,CLE,72,238,6,7,8.80%,17.60%,0.145,0.253,0.224,0.3,0.369,0.294,0.278,85,2.7,-1.8,-0.7,0.6,16375
Joc Pederson,- - -,137,481,18,2,8.10%,24.30%,0.184,0.281,0.238,0.31,0.422,0.315,0.333,94,-1.4,-4.8,-5.5,0.6,11899
Eugenio Suarez,CIN,145,574,31,0,9.80%,29.80%,0.23,0.224,0.198,0.286,0.428,0.306,0.326,85,-4.1,-15,1.6,0.6,12552
Guillermo Heredia,ATL,120,347,5,0,9.20%,23.30%,0.134,0.282,0.22,0.311,0.354,0.292,0.289,79,3.1,-6.3,0.3,0.5,18721
Nick Maton,PHI,52,131,2,2,7.60%,29.80%,0.128,0.364,0.256,0.323,0.385,0.309,0.282,91,1.6,0.1,1.1,0.5,21635
Yonathan Daza,COL,107,331,2,2,6.30%,18.10%,0.073,0.346,0.282,0.332,0.355,0.304,0.292,75,-0.3,-10.7,5.2,0.5,15794
Jordan Luplow,- - -,62,193,11,1,14.50%,29.50%,0.252,0.232,0.202,0.326,0.454,0.337,0.316,116,-1.8,2,-3.1,0.5,16424
Harold Castro,DET,106,339,3,1,4.10%,21.20%,0.076,0.351,0.283,0.31,0.359,0.291,0.315,83,-0.5,-7.8,1.7,0.5,14691
Lane Thomas,- - -,77,264,7,6,14.00%,23.90%,0.177,0.293,0.235,0.341,0.412,0.328,0.321,103,-0.7,0.5,-3.8,0.5,16939
Kevin Plawecki,BOS,64,173,3,0,6.90%,15.00%,0.102,0.328,0.287,0.349,0.389,0.325,0.327,102,-0.9,-0.5,0,0.5,13807
Taylor Ward,LAA,65,237,8,1,8.40%,23.20%,0.188,0.301,0.25,0.332,0.438,0.333,0.344,111,-0.4,2.8,-5.5,0.5,17548
Jeff McNeil,NYM,120,426,7,3,6.80%,13.60%,0.109,0.28,0.251,0.319,0.36,0.301,0.313,93,-1.1,-5.1,-3.6,0.5,15362
Yonny Hernandez,TEX,43,166,0,11,10.20%,19.30%,0.035,0.277,0.217,0.315,0.252,0.265,0.297,66,2.1,-4.8,4.4,0.5,19432
Sam Hilliard,COL,81,238,14,5,9.70%,36.60%,0.248,0.283,0.215,0.294,0.463,0.318,0.31,85,2.5,-2.1,-0.5,0.5,17954
Dom Nunez,COL,81,263,10,0,12.90%,34.60%,0.211,0.258,0.189,0.293,0.399,0.294,0.262,69,1.8,-8.4,4.9,0.5,15055
Christian Vazquez,BOS,138,498,6,8,6.60%,16.90%,0.094,0.301,0.258,0.308,0.352,0.289,0.275,77,-5.3,-19.2,7.2,0.5,9774
Jorge Mateo,- - -,89,209,4,10,4.30%,26.30%,0.129,0.324,0.247,0.293,0.376,0.291,0.287,83,1.9,-2.8,0.6,0.5,17273
Garrett Hampson,COL,147,494,11,17,6.70%,23.90%,0.146,0.291,0.234,0.289,0.38,0.288,0.29,65,4.2,-17.6,6.1,0.5,19262
Curt Casali,SFG,77,231,5,0,11.30%,28.60%,0.14,0.287,0.21,0.313,0.35,0.289,0.28,82,-0.2,-5.4,2.5,0.5,12510
James McCann,NYM,121,412,10,1,7.80%,27.90%,0.117,0.304,0.232,0.294,0.349,0.281,0.284,80,-3.4,-13.8,4.9,0.5,12859
Cam Gallagher,KCR,48,124,1,0,6.50%,16.10%,0.08,0.293,0.25,0.298,0.33,0.276,0.273,71,0,-4.4,4.9,0.5,12981
Jake Fraley,SEA,78,265,9,10,17.40%,26.80%,0.159,0.265,0.21,0.352,0.369,0.322,0.337,109,0.9,3.7,-8,0.5,19260
Robinson Chirinos,CHC,45,112,5,0,8.00%,32.10%,0.227,0.304,0.227,0.324,0.454,0.336,0.289,108,-1.2,0,0.9,0.5,3142
Wilmer Difo,PIT,116,240,4,1,8.30%,22.50%,0.114,0.34,0.269,0.329,0.384,0.312,0.276,95,1.4,-0.3,-3,0.5,14320
Tommy La Stella,SFG,76,242,7,0,7.40%,10.70%,0.155,0.255,0.25,0.308,0.405,0.307,0.339,94,-1.1,-3,-0.4,0.5,12371
Taylor Walls,TBR,54,176,1,4,13.10%,27.80%,0.086,0.304,0.211,0.314,0.296,0.279,0.283,80,0,-4.3,2.9,0.5,22458
Luke Voit,NYY,68,241,11,0,8.70%,30.70%,0.197,0.313,0.239,0.328,0.437,0.332,0.36,111,-2.9,0.4,-4.2,0.4,14811
Yu Chang,CLE,89,251,9,1,4.40%,27.50%,0.198,0.281,0.228,0.267,0.426,0.294,0.281,85,1.5,-3.2,-0.9,0.4,14773
Miguel Sano,MIN,135,532,30,2,11.10%,34.40%,0.243,0.291,0.223,0.312,0.466,0.332,0.322,110,-2.2,4.4,-18.1,0.4,12164
Randal Grichuk,TOR,149,545,22,0,5.00%,20.90%,0.182,0.266,0.241,0.281,0.423,0.3,0.294,85,-4.9,-14.7,0.6,0.4,10243
Raimel Tapia,COL,133,533,6,20,7.50%,13.10%,0.099,0.306,0.273,0.327,0.372,0.305,0.279,76,3.7,-12.5,-0.9,0.4,14350
Gavin Sheets,CHW,54,179,11,0,8.90%,22.30%,0.256,0.264,0.25,0.324,0.506,0.352,0.337,125,-1.9,3.5,-5.4,0.4,19901
Luis Guillorme,NYM,69,156,1,0,14.70%,14.70%,0.045,0.315,0.265,0.374,0.311,0.311,0.303,99,-0.7,-0.9,-0.2,0.4,16451
Starlin Castro,WSN,87,346,3,0,7.50%,17.90%,0.092,0.339,0.283,0.333,0.375,0.309,0.323,90,-2.1,-6.5,-0.9,0.4,4579
Chad Pinder,OAK,75,233,6,1,6.90%,26.60%,0.168,0.313,0.243,0.3,0.411,0.307,0.354,97,-0.6,-1.3,-2.6,0.4,15191
D.J. Stewart,BAL,100,318,12,0,13.80%,28.00%,0.17,0.254,0.204,0.324,0.374,0.31,0.315,94,1.7,-0.7,-6.1,0.4,17766
Ryan Zimmerman,WSN,110,273,14,0,5.90%,28.20%,0.227,0.289,0.243,0.286,0.471,0.319,0.299,97,-1.8,-2.8,-2.4,0.4,4220
Travis Jankowski,PHI,76,157,1,5,14.00%,18.50%,0.099,0.317,0.252,0.364,0.351,0.312,0.281,93,0.7,-0.8,-0.9,0.4,13768
Justin Upton,LAA,89,362,17,4,10.80%,29.60%,0.198,0.254,0.211,0.296,0.409,0.305,0.319,92,0.9,-2.7,-6.2,0.3,5222
David Fletcher,LAA,157,665,2,15,4.70%,9.00%,0.062,0.287,0.262,0.297,0.324,0.273,0.28,70,3.3,-20.8,1.6,0.3,17992
Kevin Newman,PIT,148,554,5,6,4.90%,7.40%,0.083,0.236,0.226,0.265,0.309,0.249,0.275,54,5.1,-27.4,12.4,0.3,17696
Kyle Lewis,SEA,36,147,5,2,10.90%,25.20%,0.146,0.307,0.246,0.333,0.392,0.32,0.35,107,-0.4,0.8,-2.5,0.3,19508
Bobby Bradley,CLE,74,279,16,0,9.00%,35.50%,0.237,0.263,0.208,0.294,0.445,0.314,0.332,99,-2,-2.5,-3.8,0.3,17278
Billy Hamilton,CHW,71,135,2,9,3.00%,34.80%,0.157,0.329,0.22,0.242,0.378,0.262,0.215,64,2.9,-3,1.6,0.3,10199
Ernie Clement,CLE,40,133,3,0,5.30%,14.30%,0.107,0.253,0.231,0.285,0.339,0.275,0.289,72,0.7,-3.9,2.5,0.3,20352
Billy McKinney,- - -,116,300,9,2,10.70%,26.30%,0.166,0.235,0.192,0.28,0.358,0.277,0.292,73,0.2,-9.9,3.1,0.3,15654
Pavin Smith,ARI,145,545,11,1,7.70%,19.40%,0.137,0.319,0.267,0.328,0.404,0.318,0.316,96,-2.4,-5.2,-9.7,0.3,19892
Andrew Vaughn,CHW,127,469,15,1,8.70%,21.50%,0.161,0.271,0.235,0.309,0.396,0.306,0.33,94,-3.6,-7,-5.9,0.3,26197
Christian Walker,ARI,115,445,10,0,8.50%,23.80%,0.137,0.307,0.244,0.315,0.382,0.304,0.311,87,1.1,-6.4,-5.2,0.3,13419
Sergio Alcantara,CHC,89,255,5,3,11.80%,29.00%,0.123,0.28,0.205,0.303,0.327,0.279,0.276,71,0.7,-8.7,3.2,0.3,16417
Derek Hill,DET,49,150,3,6,6.70%,28.00%,0.129,0.351,0.259,0.313,0.388,0.305,0.287,92,0.3,-1.1,-1.2,0.3,16947
Jason Heyward,CHC,104,353,8,5,7.60%,19.30%,0.133,0.247,0.214,0.28,0.347,0.275,0.292,68,1.8,-12.4,3.4,0.3,4940
Luis Torrens,SEA,108,378,15,0,7.40%,26.20%,0.188,0.294,0.243,0.299,0.431,0.311,0.317,101,-1.2,-0.6,-9.5,0.3,15905
Victor Reyes,DET,76,220,5,5,3.60%,25.00%,0.158,0.327,0.258,0.284,0.416,0.298,0.297,88,1.7,-1.6,-3.2,0.3,15487
DJ Peters,- - -,70,240,13,2,5.00%,34.20%,0.224,0.237,0.197,0.242,0.422,0.272,0.27,71,0.5,-7.9,2.4,0.3,19348
Alex Kirilloff,MIN,59,231,8,1,6.10%,22.50%,0.172,0.295,0.251,0.299,0.423,0.307,0.365,93,-0.2,-2.1,-3.2,0.3,20325
Jon Berti,MIA,85,271,4,8,11.80%,22.50%,0.103,0.265,0.21,0.311,0.313,0.282,0.303,79,2.8,-4.6,-1.9,0.2,12037
Ehire Adrianza,ATL,109,209,5,0,10.00%,20.10%,0.154,0.29,0.247,0.327,0.401,0.316,0.313,94,0.2,-1.3,-3.2,0.2,8418
Eloy Jimenez,CHW,55,231,10,0,6.90%,24.70%,0.188,0.293,0.249,0.303,0.437,0.317,0.323,101,-1.6,-1.2,-4.2,0.2,17484
Kyle Garlick,MIN,36,107,5,1,5.60%,29.90%,0.232,0.286,0.232,0.28,0.465,0.314,0.345,99,-0.3,-0.5,-0.8,0.2,18063
Jose Peraza,NYM,64,154,6,1,5.80%,16.90%,0.176,0.209,0.204,0.266,0.38,0.28,0.268,80,-0.1,-4.1,1.3,0.2,13593
Dylan Moore,SEA,126,377,12,21,10.60%,29.40%,0.154,0.229,0.181,0.276,0.334,0.271,0.289,74,1.6,-10.4,-0.4,0.2,18042
Martin Maldonado,HOU,125,426,12,0,11.00%,29.80%,0.129,0.221,0.172,0.272,0.3,0.258,0.268,63,-5,-24.4,11.9,0.2,6887
Yadiel Hernandez,WSN,112,289,9,3,7.60%,20.40%,0.14,0.318,0.273,0.329,0.413,0.32,0.305,98,-1.7,-2.5,-5.1,0.2,19334
Trevor Larnach,MIN,79,301,7,1,10.30%,34.60%,0.127,0.338,0.223,0.322,0.35,0.3,0.304,89,-1.4,-5.3,-3,0.2,21501
Alex Avila,WSN,34,111,1,0,17.10%,33.30%,0.157,0.314,0.191,0.345,0.348,0.311,0.298,92,-1.3,-2.5,0.6,0.2,7476
Danny Mendick,CHW,71,186,2,0,9.70%,22.60%,0.067,0.281,0.22,0.303,0.287,0.268,0.258,68,0.9,-6.3,1.8,0.2,18889
Alex Dickerson,SFG,111,312,13,1,7.40%,24.40%,0.187,0.273,0.233,0.304,0.42,0.313,0.335,97,-0.5,-1.6,-7.1,0.2,12649
Brian Goodwin,CHW,72,271,8,1,12.20%,21.40%,0.153,0.259,0.221,0.319,0.374,0.306,0.327,94,0.2,-1.9,-5.7,0.2,12858
Yoshi Tsutsugo,- - -,81,262,8,0,11.10%,27.50%,0.165,0.278,0.217,0.307,0.383,0.302,0.28,90,-0.6,-3.7,-3.4,0.2,27459
Max Schrock,CIN,53,134,3,1,6.00%,17.90%,0.16,0.333,0.288,0.328,0.448,0.329,0.294,100,-0.3,-0.3,-2.5,0.2,17750
Anthony Alford,PIT,49,148,5,5,8.10%,39.20%,0.173,0.371,0.233,0.311,0.406,0.31,0.288,93,-1.1,-2.4,-1.1,0.1,14329
Stephen Vogt,- - -,78,238,7,0,10.90%,23.50%,0.138,0.23,0.195,0.283,0.333,0.27,0.289,64,0.3,-10.5,3.8,0.1,5000
Nick Gordon,MIN,73,216,4,10,5.60%,25.50%,0.115,0.31,0.24,0.292,0.355,0.283,0.317,77,0.6,-5.4,-0.7,0.1,16337
Jake Lamb,- - -,55,170,7,0,12.90%,30.00%,0.174,0.239,0.194,0.306,0.368,0.298,0.316,87,-0.2,-2.9,-1.7,0.1,13329
Jo Adell,LAA,35,140,4,2,5.70%,22.90%,0.162,0.298,0.246,0.295,0.408,0.303,0.312,90,-0.3,-2,-1.7,0.1,20220
Seby Zavala,CHW,37,104,5,0,5.80%,39.40%,0.194,0.255,0.183,0.24,0.376,0.265,0.215,66,0.4,-3.8,1.4,0.1,18887
Phil Gosselin,LAA,104,373,7,4,6.40%,21.70%,0.101,0.322,0.261,0.314,0.362,0.297,0.287,87,1.2,-4.9,-6.6,0.1,10953
Cal Raleigh,SEA,47,148,2,0,4.70%,35.10%,0.129,0.267,0.18,0.223,0.309,0.231,0.228,47,0,-9.6,5.6,0.1,21534
Edward Olivares,KCR,39,111,5,2,4.50%,17.10%,0.168,0.244,0.238,0.291,0.406,0.301,0.297,88,-0.1,-1.8,-1.1,0.1,19698
Yermin Mercedes,CHW,68,262,7,0,7.60%,17.60%,0.133,0.309,0.271,0.328,0.404,0.317,0.313,102,-1.2,-0.7,-7.4,0.1,17423
Aaron Hicks,NYY,32,126,4,0,11.10%,23.80%,0.139,0.224,0.194,0.294,0.333,0.279,0.334,76,-0.2,-4,0.5,0.1,5297
Daniel Vogelbach,MIL,93,258,9,0,16.70%,22.10%,0.163,0.255,0.219,0.349,0.381,0.325,0.338,101,-4.1,-3.9,-3.8,0.1,14130
Andy Young,ARI,58,104,6,0,5.80%,43.30%,0.275,0.317,0.209,0.298,0.484,0.332,0.307,105,-1.5,-0.8,-1.8,0.1,19521
Leody Taveras,TEX,49,185,3,10,4.90%,32.40%,0.109,0.225,0.161,0.207,0.27,0.209,0.252,29,2.4,-13.8,8.2,0.1,18900
Aristides Aquino,CIN,84,204,10,2,13.20%,36.80%,0.218,0.253,0.19,0.299,0.408,0.303,0.304,83,0,-4.4,-1.6,0.1,15482
Hoy Park,- - -,45,150,3,1,12.00%,25.30%,0.141,0.25,0.195,0.297,0.336,0.279,0.291,73,-1,-6.1,1.7,0.1,18027
Austin Hedges,CLE,88,312,10,1,4.80%,27.90%,0.129,0.214,0.178,0.22,0.308,0.227,0.23,40,-0.2,-23.3,13.2,0.1,12976
Asdrubal Cabrera,- - -,110,352,7,1,10.20%,22.70%,0.136,0.283,0.23,0.313,0.366,0.297,0.287,82,-1.9,-9.9,-1.2,0,4962
Riley Adams,- - -,47,120,2,0,12.50%,33.30%,0.162,0.351,0.222,0.358,0.384,0.332,0.317,105,0.1,1,-4.5,0,19864
Niko Goodrum,DET,90,325,9,14,8.90%,32.90%,0.145,0.301,0.214,0.292,0.359,0.286,0.305,79,0.3,-8,-2.6,0,12092
