"","Rd","#","Phase","POS","Drafted From","Year","Tm","Name"
"2636",36,1105,"JR","SS","Galveston College",2012,"Toronto Blue Jays","Brian Cruz"
"2637",36,1106,"JR","SS","Parker (San Diego, CA)",2012,"Los Angeles Dodgers","Jose Vizcaino"
"2638",36,1107,"JR","P","Dallas Baptist University",2012,"Los Angeles Angels","Kenneth Hatcher"
"2639",36,1108,"JR","P","College of San Mateo",2012,"San Francisco Giants","Clint Terry"
"2640",36,1109,"JR","OF","St. Francis High School (Mountain View, CA)",2012,"Atlanta Braves","Braden Bishop"
"2641",36,1110,"JR","C","Elon University",2012,"St. Louis Cardinals","Alexander Swim"
"2642",36,1111,"JR","C","University of North Carolina-Charlotte",2012,"Boston Red Sox","Miguel Rodriguez"
"2643",36,1112,"JR","SS","Panola College",2012,"Tampa Bay Rays","Brett McAfee"
"2644",36,1113,"JR","P","University of South Florida",2012,"Arizona Diamondbacks","Andrew Barbosa"
"2645",36,1114,"JR","P","Allatoona (Acworth,GA)",2012,"Detroit Tigers","Clate Schmidt"
"2646",36,1115,"JR","C","Southwest High School (Miami, FL)",2012,"Milwaukee Brewers","Alex Mangano"
"2647",36,1116,"JR","P","China Spring (China Spring,TX)",2012,"Texas Rangers","Sterling Wynn"
"2648",36,1117,"JR","C","University City High School (San Diego, CA)",2012,"New York Yankees","Dalton Smith"
"2649",36,1118,"JR","C","Commack (Commack,NY)",2012,"Philadelphia Phillies","Charles Galiano"
"2650",37,1119,"JR","P","Wake Forest University",2012,"Houston Astros","Michael Dimock"
"2651",37,1120,"JR","RHP","Campolindo High School (Moraga, CA)",2012,"Minnesota Twins","James Marvel"
"2652",37,1121,"JR","P","Marian Catholic (Chicago Heights,IL)",2012,"Seattle Mariners","Brett Lilek"
"2653",37,1122,"JR","P","University of Arkansas",2012,"Baltimore Orioles","Derrick Bleeker"
"2654",37,1123,"JR","RHP","Mira Mesa High School (San Diego, CA)",2012,"Kansas City Royals","Jake Newberry"
"2655",37,1124,"JR","P","Howard College",2012,"Chicago Cubs","Clayton Crum"
"2656",37,1125,"JR","C","-",2012,"San Diego Padres","Christian Munoz"
"2657",37,1126,"JR","RHP","Dutchtown High School (Geismar, LA)",2012,"Pittsburgh Pirates","Jacob Waguespack"
"2658",37,1127,"JR","OF","Southern Alamance (Graham,NC)",2012,"Miami Marlins","Edward Sappelt"
"2659",37,1128,"JR","3B","Grand Junction Central (Grand Junction,CO)",2012,"Colorado Rockies","Casey Burns"
"2660",37,1129,"JR","1B","East Carolina University",2012,"Oakland Athletics","John Wooten"
"2661",37,1130,"JR","C","Elkins High School (Missouri City, TX)",2012,"New York Mets","Benny Distefano"
"2662",37,1131,"JR","OF","Western Texas College",2012,"Chicago White Sox","Thurman Hall"
"2663",37,1132,"JR","SS","Pepperdine University",2012,"Cincinnati Reds","Zach Vincej"
"2664",37,1133,"JR","OF","University of Arkansas",2012,"Cleveland Indians","Jacob Morris"
"2665",37,1134,"JR","P","Georgetown High School (Georgetown,TX)",2012,"Washington Nationals","Tyler Watson"
"2666",37,1135,"JR","1B","Colby College",2012,"Toronto Blue Jays","Daniel Devonshire"
"2667",37,1136,"JR","1B","Flagler College",2012,"Los Angeles Dodgers","John Sgromolo"
"2668",37,1137,"JR","P","University of Central Florida",2012,"Los Angeles Angels","Matthew Collins"
"2669",37,1138,"JR","SS","Miramonte High School (Orinda, CA)",2012,"San Francisco Giants","Drew Jackson"
"2670",37,1139,"JR","OF","St. Mary's High School (Stockton, CA)",2012,"Atlanta Braves","Gio Brusa"
"2671",37,1140,"JR","OF","Tattnall School (Wilmington, DE)",2012,"St. Louis Cardinals","Derrick May"
"2672",37,1141,"JR","P","Lamar University",2012,"Boston Red Sox","Jonathan Dziedzic"
"2673",37,1142,"JR","P","Bentley College",2012,"Tampa Bay Rays","Rob Finneran"
"2674",37,1143,"JR","OF","University of Hawaii",2012,"Arizona Diamondbacks","Breland Almadova"
"2675",37,1144,"JR","C","Yale University",2012,"Detroit Tigers","Charlie Neil"
"2676",37,1145,"JR","SS","Edmonds Community College",2012,"Milwaukee Brewers","Taylor Smith-Brennan"
"2677",37,1146,"JR","P","Midland Christian (Midland, TX)",2012,"Texas Rangers","Matt Withrow"
"2678",37,1147,"JR","P","Samford University",2012,"New York Yankees","Charles Basford"
"2679",37,1148,"JR","P","Granite Hills High School (El Cajon, CA)",2012,"Philadelphia Phillies","Daniel Starwalt"
"2680",38,1149,"JR","3B","LaSalle Institute (Troy,NY)",2012,"Houston Astros","Zachary Remillard"
"2681",38,1150,"JR","C","Campolindo High School (Moraga, CA)",2012,"Minnesota Twins","Austin Rei"
"2682",38,1151,"JR","SS","Bloomingdale High School (Valrico, FL)",2012,"Seattle Mariners","Richie Martin"
"2683",38,1152,"JR","C","Kenyon College",2012,"Baltimore Orioles","Jack Graham"
"2684",38,1153,"JR","OF","White Hall (White Hall,PA)",2012,"Kansas City Royals","Carlos Urena"
"2685",38,1154,"JR","OF","Herkimer County Community College",2012,"Chicago Cubs","Hassan Evans"
"2686",38,1155,"JR","SS","Trousdale County (Hartsville,TN)",2012,"San Diego Padres","Adam Ford"
"2687",38,1156,"JR","P","Science Hill High School (Johnson City, TN)",2012,"Pittsburgh Pirates","Matthew Pope"
"2688",38,1157,"JR","P","Cumberland University",2012,"Miami Marlins","Michael Smith"
"2689",38,1158,"JR","SS","Marietta High School (Marietta, GA)",2012,"Colorado Rockies","Dansby Swanson"
"2690",38,1159,"JR","P","University of San Diego",2012,"Oakland Athletics","Calvin Drummond"
"2691",38,1160,"JR","3B","Harvard University",2012,"New York Mets","Jeff Reynolds"
"2692",38,1161,"JR","SS","Morgan Park (Chicago, IL)",2012,"Chicago White Sox","DeJohn Suber"
"2693",38,1162,"JR","RHP","Cypress College",2012,"Cincinnati Reds","Daniel Ponce de Leon"
"2694",38,1163,"JR","P","Sonoma State University",2012,"Cleveland Indians","Joshua Nervis"
"2695",38,1164,"JR","P","Malone College",2012,"Washington Nationals","Jared Messer"
"2696",38,1165,"JR","SS","Newbury Park High School (Newbury Park, CA)",2012,"Toronto Blue Jays","Nick Lovullo"
"2697",38,1166,"JR","OF","Maple Woods Community College",2012,"Los Angeles Dodgers","Cory Embree"
"2698",38,1167,"JR","P","Stetson University",2012,"Los Angeles Angels","Jake Boyd"
"2699",38,1168,"JR","P","Waterford (Waterford,CT)",2012,"San Francisco Giants","Nolan Long"
"2700",38,1169,"JR","P","Northview High School (Duluth,GA)",2012,"Atlanta Braves","Sean McLaughlin"
"2701",38,1170,"JR","P","-",2012,"St. Louis Cardinals","Javier Machuca"
"2702",38,1171,"JR","C","Claflin University",2012,"Boston Red Sox","Donald Smith"
"2703",38,1172,"JR","C","Cal State Los Angeles",2012,"Tampa Bay Rays","Chad Nacapoy"
"2704",38,1173,"JR","OF","Grosse Pointe South High School (Grosse Pointe, MI)",2012,"Arizona Diamondbacks","Cameron Gibson"
"2705",38,1174,"JR","P","Brook Hill High School (Jacksonville, TX)",2012,"Detroit Tigers","Alex Minter"
"2706",38,1175,"JR","C","-",2012,"Milwaukee Brewers","Christopher Shaw"
"2707",38,1176,"JR","1B","Annapolis High School (Annapolis, MD)",2012,"Texas Rangers","Zackary Fields"
"2708",38,1177,"JR","OF","Westminster Christian School (St. Louis, MO)",2012,"New York Yankees","David Thompson"
"2709",38,1178,"JR","1B","Highlands Ranch High School (Highlands Ranch, CO)",2012,"Philadelphia Phillies","Geordy Smith"
"2710",39,1179,"JR","P","Houston Christian (Houston, TX)",2012,"Houston Astros","Mitchell Traver"
"2711",39,1180,"JR","OF","Whitewater High School (Fayetteville, GA)",2012,"Minnesota Twins","Alex Liquori"
"2712",39,1181,"JR","P","Barbers Hill (Mount Belvieu,TX)",2012,"Seattle Mariners","Grayson Long"
"2713",39,1182,"JR","C","University of California-Davis",2012,"Baltimore Orioles","Scott Kalush"
"2714",39,1183,"JR","OF","Georgetown University",2012,"Kansas City Royals","Justin Leeson"
"2715",39,1184,"JR","3B","Desert Mountain High School (Scottsdale, AZ)",2012,"Chicago Cubs","Rustin Sveum"
"2716",39,1185,"JR","OF","Cal State San Marcos",2012,"San Diego Padres","Anthony Renteria"
"2717",39,1186,"JR","P","North DeSoto (Stonewall,LA)",2012,"Pittsburgh Pirates","Jared West"
"2718",39,1187,"JR","C","Vista del Lago (Moreno Valley, CA)",2012,"Miami Marlins","Marcus Greene"
"2719",39,1188,"JR","P","El Dorado High School (Placerville,CA)",2012,"Colorado Rockies","Justin Dillon"
"2720",39,1189,"JR","OF","Roseville (Roseville,CA)",2012,"Oakland Athletics","Dalton Blaser"
"2721",39,1190,"JR","2B","Pace High School (Pace, FL)",2012,"New York Mets","Patrick Ervin"
"2722",39,1191,"JR","2B","Macalester College",2012,"Chicago White Sox","Mitch Glasser"
"2723",39,1192,"JR","P","Weatherford College",2012,"Cincinnati Reds","Jacob Stone"
"2724",39,1193,"JR","P","James Madison University",2012,"Cleveland Indians","DJ Brown"
"2725",39,1194,"JR","C","Coosa (Rome, GA)",2012,"Washington Nationals","Mitchell Williams"
"2726",39,1195,"JR","3B","Brock University",2012,"Toronto Blue Jays","Shaun Valeriote"
"2727",39,1196,"JR","C","Nitro (Nitro,WV)",2012,"Los Angeles Dodgers","Korey Dunbar"
"2728",39,1197,"JR","C","Gilbert High School (Winsted,CT)",2012,"Los Angeles Angels","Justin Morhardt"
"2729",39,1198,"JR","2B","North Broward Prep (Parkland, FL)",2012,"San Francisco Giants","Kevin Fagan"
"2730",39,1199,"JR","OF","Eldorado High School (Albuquerque, NM)",2012,"Atlanta Braves","Cullen O'Dwyer"
"2731",39,1200,"JR","P","San Jose State University",2012,"St. Louis Cardinals","Michael Aldrete"
"2732",39,1201,"JR","P","Stetson University",2012,"Boston Red Sox","Kurt Schluter"
"2733",39,1202,"JR","C","Northwestern University",2012,"Tampa Bay Rays","Geoffrey Rowan"
"2734",39,1203,"JR","C","Gilroy High School (Gilroy, CA)",2012,"Arizona Diamondbacks","Rafael Garcia"
"2735",39,1204,"JR","SS","Neshannock (New Castle,PA)",2012,"Detroit Tigers","John Sansone"
"2736",39,1205,"JR","OF","St. Marguerite d'Youville (Brampton,ON)",2012,"Milwaukee Brewers","Derek Jones"
"2737",39,1206,"JR","OF","Henry County (McDonough,GA)",2012,"Texas Rangers","Tevin Johnson"
"2738",39,1207,"JR","OF","East Ridge High School (Clermont, FL)",2012,"New York Yankees","Bo Decker"
"2739",39,1208,"JR","P","Trenton (Trenton,MO)",2012,"Philadelphia Phillies","Austin Norris"
"2740",40,1209,"JR","P","Ennis High School (Ennis,TX)",2012,"Houston Astros","Joe Shaw"
"2741",40,1210,"JR","P","Purdue University",2012,"Minnesota Twins","Brad Schreiber"
"2742",40,1211,"JR","RHP","Beckman High School (Irvine, CA)",2012,"Seattle Mariners","James Kaprielian"
"2743",40,1212,"JR","OF","Burlington Central (Burlington,IL)",2012,"Baltimore Orioles","Raymond Hunnicutt"
"2744",40,1213,"JR","P","South Mountain Community College",2012,"Kansas City Royals","Taylor Kaczmarek"
"2745",40,1214,"JR","1B","Mount Olive College",2012,"Chicago Cubs","Jacob Rogers"
"2746",40,1215,"JR","P","University of Toledo",2012,"San Diego Padres","Terrance Owens"
"2747",40,1216,"JR","3B","Valley High School (New Kensington,PA)",2012,"Pittsburgh Pirates","Zarley Zalewski"
"2748",40,1217,"JR","SS","Carl Albert (Midwest City, OK)",2012,"Miami Marlins","Alex Polston"
"2749",40,1218,"JR","C","Langham Creek High School (Houston, TX)",2012,"Colorado Rockies","Brandon Montalvo"
"2750",40,1219,"JR","SS","St. Francis High School (Mountain View, CA)",2012,"Oakland Athletics","David Olmedo-Barrera"
"2751",40,1220,"JR","P","Gainesville High School (Gainesville, GA)",2012,"New York Mets","David Gonzalez"
"2752",40,1221,"JR","P","Beverly Hills (Beverly Hills,CA)",2012,"Chicago White Sox","Sam Mason"
"2753",40,1222,"JR","P","Texas A&M University",2012,"Cincinnati Reds","Rafael Pineda"
"2754",40,1223,"JR","OF","Fresno (Fresno, CA)",2012,"Cleveland Indians","Anthony Hawkins"
"2755",40,1224,"JR","OF","American Senior High School (Hialeah, FL)",2012,"Washington Nationals","Ricky Gutierrez"
"2756",40,1225,"JR","SS","Grand Street High School (Brooklyn, NY)",2012,"Toronto Blue Jays","Jose Cuas"
"2757",40,1226,"JR","OF","Santa Clara University",2012,"Los Angeles Dodgers","Patrick Stover"
"2758",40,1227,"JR","OF","Hawaii Pacific University",2012,"Los Angeles Angels","Blake Amaral"
"2759",40,1228,"JR","P","Clovis West High School (Fresno, CA)",2012,"San Francisco Giants","Tyler Ferguson"
"2760",40,1229,"JR","RHP","Jefferson High School (Tampa, FL)",2012,"Atlanta Braves","Jimmy Herget"
"2761",40,1230,"JR","C","Madison Academy (Huntsville,AL)",2012,"St. Louis Cardinals","Ian Rice"
"2762",40,1231,"JR","OF","Amherst Regional (Amherst,MA)",2012,"Boston Red Sox","Kevin Heller"
"2763",40,1232,"JR","P","Howard College",2012,"Tampa Bay Rays","Nicholas Sawyer"
"2764",40,1233,"JR","P","Montrose (Montrose,CO)",2012,"Arizona Diamondbacks","Zane Hemond"
"2765",40,1234,"JR","P","Central Michigan University",2012,"Detroit Tigers","Ryan Longstreth"
"2766",40,1235,"JR","C","American Senior High School (Hialeah, FL)",2012,"Milwaukee Brewers","Charles Vazquez"
"2767",40,1236,"JR","P","Emory University",2012,"Texas Rangers","Paul Schwindel"
"2768",40,1237,"JR","OF","Western Oklahoma State College",2012,"New York Yankees","Sherman Lacrus"
"2769",40,1238,"JR","RHP","East Lake High School (Tarpon Springs, FL)",2012,"Philadelphia Phillies","Eric Hanhold"
"2770",1,1,"JR","RHP","Stanford University",2013,"Houston Astros","Mark Appel"
"2771",1,2,"JR","3B","University of San Diego",2013,"Chicago Cubs","Kris Bryant"
"2772",1,3,"JR","P","Oklahoma",2013,"Colorado Rockies","Jon Gray"
"2773",1,4,"JR","RHP","St. Pius X High School (Houston, TX)",2013,"Minnesota Twins","Kohl Stewart"
"2774",1,5,"JR","OF","Loganville High School (Loganville, GA)",2013,"Cleveland Indians","Clint Frazier"
"2775",1,6,"JR","3B","UNC",2013,"Miami Marlins","Colin Moran"
"2776",1,7,"JR","LHP","New Castle High School (New Castle, IN)",2013,"Boston Red Sox","Trey Ball"
"2777",1,8,"JR","SS","Stephen F. Austin",2013,"Kansas City Royals","Hunter Dozier"
"2778",1,9,"JR","CF","Grayson High School (Grayson, GA)",2013,"Pittsburgh Pirates","Austin Meadows"
"2779",1,10,"JR","RHP","Oaks Christian High School (Westlake Village, CA)",2013,"Toronto Blue Jays","Phil Bickford"
"2780",1,11,"JR","1B","Junípero Serra High School (Gardena, CA)",2013,"New York Mets","Dominic Smith"
"2781",1,12,"JR","3B","New Mexico",2013,"Seattle Mariners","DJ Peterson"
"2782",1,13,"JR","RF","Mississippi State University",2013,"San Diego Padres","Hunter Renfroe"
"2783",1,14,"JR","C","Kentwood High School (Kentwood, WA)",2013,"Pittsburgh Pirates","Reese McGuire"
"2784",1,15,"JR","RHP","Nevada",2013,"Arizona Diamondbacks","Braden Shipley"
"2785",1,16,"JR","SS","Lakewood High School (Lakewood, CA)",2013,"Philadelphia Phillies","J.P. Crawford"
"2786",1,17,"JR","SS","East Central Community College",2013,"Chicago White Sox","Tim Anderson"
"2787",1,18,"JR","RHP","Jacksonville",2013,"Los Angeles Dodgers","Chris Anderson"
"2788",1,19,"JR","P","Gonzaga",2013,"St. Louis Cardinals","Marco Gonzales"
"2789",1,20,"JR","RHP","University of Florida",2013,"Detroit Tigers","Jonathon Crawford"
"2790",1,21,"JR","C","Lexington High School (Lexington, S.C.)",2013,"Tampa Bay Rays","Nick Ciuffo"
"2791",1,22,"JR","RHP","Bandys High School (Catawba, N.C.)",2013,"Baltimore Orioles","Hunter Harvey"
"2792",1,23,"JR","RHP","Oral Roberts",2013,"Texas Rangers","Chi Chi Gonzalez"
"2793",1,24,"JR","OF","Plano West High School (Plano, TX)",2013,"Oakland Athletics","Billy McKinney"
"2794",1,25,"JR","SS","Hernando High School (Brooksville, FL)",2013,"San Francisco Giants","Christian Arroyo"
"2795",1,26,"JR","3B","University of Notre Dame",2013,"New York Yankees","Eric Jagielo"
"2796",1,27,"JR","OF","Samford",2013,"Cincinnati Reds","Phillip Ervin"
"2797",1,28,"JR","LHP","St. Joseph Regional High School (Montvale, N.J.)",2013,"St. Louis Cardinals","Rob Kaminsky"
"2798",1,29,"JR","RHP","University of Arkansas",2013,"Tampa Bay Rays","Ryne Stanek"
"2799",1,30,"JR","SS","Winder-Barrow High School (Winder, GA)",2013,"Texas Rangers","Travis Demeritte"
"2800",1,31,"JR","RHP","Oklahoma State",2013,"Atlanta Braves","Jason Hursh"
"2801",1,32,"JR","OF","Fresno State",2013,"New York Yankees","Aaron Judge"
"2802",1,33,"JR","LHP","Madison High School (San Diego, CA)",2013,"New York Yankees","Ian Clarkin"
"2803",1,34,"JR","LHP","Indiana State University",2013,"Kansas City Royals","Sean Manaea"
"2804",1,35,"JR","LHP","St. Ignatius Preparatory (San Francisco, CA)",2013,"Miami Marlins","Matt Krook"
"2805",1,36,"JR","RHP","Marshall University",2013,"Arizona Diamondbacks","Aaron Blair"
"2806",1,37,"JR","OF","Parkview High School (Lilburn, GA)",2013,"Baltimore Orioles","Josh Hart"
"2807",1,38,"JR","RHP","Cal-State Fullerton",2013,"Cincinnati Reds","Michael Lorenzen"
"2808",1,39,"JR","RHP","Texas",2013,"Detroit Tigers","Corey Knebel"
"2809",2,40,"JR","RHP","UC Irvine",2013,"Houston Astros","Andrew Thurman"
"2810",2,41,"JR","LHP","Missouri",2013,"Chicago Cubs","Rob Zastryzny"
"2811",2,42,"JR","3B","Mater Dei High School (Santa Ana, CA)",2013,"Colorado Rockies","Ryan McMahon"
"2812",2,43,"JR","RHP","Louisiana State University",2013,"Minnesota Twins","Ryan Eades"
"2813",2,44,"JR","RHP","Arizona State University",2013,"Miami Marlins","Trevor Williams"
"2814",2,45,"JR","RHP","Seminole State College",2013,"Boston Red Sox","Teddy Stankiewicz"
"2815",2,46,"JR","LHP","Northwest Mississippi Community College",2013,"Kansas City Royals","Cody Reed"
"2816",2,47,"JR","RHP","Woodford County High School (Versailles, KY)",2013,"Toronto Blue Jays","Clinton Hollon"
"2817",2,48,"JR","RHP","Basic High School (Henderson, NV)",2013,"New York Mets","Andrew Church"
"2818",2,49,"JR","OF","Stanford University",2013,"Seattle Mariners","Austin Wilson"
"2819",2,50,"JR","SS","Gilbert High School (Gilbert, AZ)",2013,"San Diego Padres","Dustin Peterson"
"2820",2,51,"JR","LHP","Dana Hills High School (Mission Viejo, CA)",2013,"Pittsburgh Pirates","Blake Taylor"
"2821",2,52,"JR","SS","Terrebonne High School (Houma, LA)",2013,"Arizona Diamondbacks","Justin Williams"
"2822",2,53,"JR","C","Cal",2013,"Philadelphia Phillies","Andrew Knapp"
"2823",2,54,"JR","RHP","Hazelwood West High School (Hazelwood, MO)",2013,"Milwaukee Brewers","Devin Williams"
"2824",2,55,"JR","RHP","Durant High School (Plant City, FL)",2013,"Chicago White Sox","Tyler Danish"
"2825",2,56,"JR","LHP","Minnesota",2013,"Los Angeles Dodgers","Tom Windle"
"2826",2,57,"JR","SS","Gaither High School (Tampa, FL)",2013,"St. Louis Cardinals","Oscar Mercado"
"2827",2,58,"JR","LHP","Vanderbilt University",2013,"Detroit Tigers","Kevin Ziomek"
"2828",2,59,"JR","LHP","Warren East High School (Bowling Green, KY)",2013,"Los Angeles Angels","Hunter Green"
"2829",2,60,"JR","SS","Desert Ridge High School (Mesa, AZ)",2013,"Tampa Bay Rays","Riley Unroe"
"2830",2,61,"JR","C","Santiago High School (Corona, CA)",2013,"Baltimore Orioles","Chance Sisco"
"2831",2,62,"JR","RHP","West Florence High School (Florence, S.C.)",2013,"Texas Rangers","Akeem Bostick"
"2832",2,63,"JR","LHP","Oklahoma",2013,"Oakland Athletics","Dillon Overton"
"2833",2,64,"JR","3B","Watauga High School (Boone, N.C.)",2013,"San Francisco Giants","Ryder Jones"
"2834",2,65,"JR","C","Miami Dade College",2013,"Atlanta Braves","Victor Caratini"
"2835",2,66,"JR","2B","Rancho Bernardo High School (San Diego, CA)",2013,"New York Yankees","Gosuke Katoh"
"2836",2,67,"JR","3B","Gahr High School (Cerritos, CA)",2013,"Cincinnati Reds","Kevin Franklin"
"2837",2,68,"JR","RHP","Dallas Baptist",2013,"Washington Nationals","Jake Johansen"
"2838",2,69,"JR","CF","Serra High School (San Mateo, CA)",2013,"San Diego Padres","Jordan Paroubeck"
"2839",2,70,"JR","RHP","San Francisco",2013,"Colorado Rockies","Alex Balog"
"2840",2,71,"JR","3B","Virginia Tech",2013,"Oakland Athletics","Chad Pinder"
"2841",2,72,"JR","SS","Wharton High School (Tampa, FL)",2013,"Milwaukee Brewers","Tucker Neuhaus"
"2842",2,73,"JR","RHP","University of Arkansas",2013,"Miami Marlins","Colby Suggs"
"2843",3,74,"JR","LHP","University of North Carolina",2013,"Houston Astros","Kent Emanuel"
"2844",3,75,"JR","CF","BYU",2013,"Chicago Cubs","Jacob Hannemann"
"2845",3,76,"JR","CF","Ruston High School (Simsboro, LA)",2013,"New York Mets","Ivan Wilson"
"2846",3,77,"JR","LHP","Memphis",2013,"Colorado Rockies","Sam Moll"
"2847",3,78,"JR","C","University of Mississippi",2013,"Minnesota Twins","Stuart Turner"
"2848",3,79,"JR","RHP","Louisville",2013,"Cleveland Indians","Dace Kime"
"2849",3,80,"JR","SS","The First Academy (Orlando, FL)",2013,"Miami Marlins","Ben Deluzio"
"2850",3,81,"JR","C","Yukon High School (Yukon, OK)",2013,"Boston Red Sox","Jon Denney"
"2851",3,82,"JR","RHP","The Woodlands High School (Woodlands, TX)",2013,"Kansas City Royals","Carter Hope"
"2852",3,83,"JR","RHP","Hamilton High School (Chandler, AZ)",2013,"Toronto Blue Jays","Patrick Murphy"
"2853",3,84,"JR","RHP","Cypress Woods High School (Cypress, TX)",2013,"New York Mets","Casey Meisner"
"2854",3,85,"JR","RF","Maple Ridge High School (Maple Ridge, Canada)",2013,"Seattle Mariners","Tyler O'Neill"
"2855",3,86,"JR","RHP","Hofstra",2013,"San Diego Padres","Bryan Verbitsky"
"2856",3,87,"JR","CF","Louisiana State University",2013,"Pittsburgh Pirates","Jacoby Jones"
"2857",3,88,"JR","1B","Georgia Institute of Technology",2013,"Arizona Diamondbacks","Daniel Palka"
"2858",3,89,"JR","CF","Manatee High School (Bradenton, FL)",2013,"Philadelphia Phillies","Cord Sandberg"
"2859",3,90,"JR","RHP","University of Arkansas",2013,"Milwaukee Brewers","Barrett Astin"
"2860",3,91,"JR","CF","Coastal Carolina",2013,"Chicago White Sox","Jacob May"
"2861",3,92,"JR","3B","University of Arizona",2013,"Los Angeles Dodgers","Brandon Dixon"
"2862",3,93,"JR","RHP","University of Mississippi",2013,"St. Louis Cardinals","Mike Mayers"
"2863",3,94,"JR","RHP","Louisville",2013,"Detroit Tigers","Jeffrey Thompson"
"2864",3,95,"JR","RHP","Lane Community College",2013,"Los Angeles Angels","Keynan Middleton"
"2865",3,96,"JR","SS","Carlos Beltran Baseball Academy (San Lorenzo, Puerto Rico)",2013,"Philadelphia Phillies","Jan Hernandez"
"2866",3,97,"JR","CF","Masuk High School (Monroe, CT)",2013,"Tampa Bay Rays","Thomas Milone"
"2867",3,98,"JR","LHP","Scottsdale Community College",2013,"Baltimore Orioles","Stephen Tarpley"
"2868",3,99,"JR","RHP","Cedarville",2013,"Texas Rangers","David Ledbetter"
"2869",3,100,"JR","3B","Oregon",2013,"Oakland Athletics","Ryon Healy"
"2870",3,101,"JR","RHP","Cal Poly",2013,"San Francisco Giants","Chase Johnson"
"2871",3,102,"JR","RHP","Kerman High School (Kerman, CA)",2013,"Atlanta Braves","Carlos Salazar"
"2872",3,103,"JR","CF","University of Michigan",2013,"New York Yankees","Michael O'Neill"
"2873",3,104,"JR","RHP","Clarence High School (Clarence, NY)",2013,"Cincinnati Reds","Mark Armstrong"
"2874",3,105,"JR","3B","Leedey High School (Leedey, OK)",2013,"Washington Nationals","Drew Ward"
"2875",3,106,"JR","LHP","Los Osos High School (Rancho Cucamonga, CA)",2013,"Oakland Athletics","Chris Kohler"
"2876",4,107,"JR","1B","Vanderbilt University",2013,"Houston Astros","Conrad Gregor"
"2877",4,108,"JR","RHP","Kent State University",2013,"Chicago Cubs","Tyler Skulina"
"2878",4,109,"JR","RF","University of South Alabama",2013,"Colorado Rockies","Jordan Patterson"
"2879",4,110,"JR","LHP","Cathedral Catholic High School (San Marcos, CA)",2013,"Minnesota Twins","Stephen Gonsalves"
"2880",4,111,"JR","LHP","University of Virginia",2013,"Cleveland Indians","Kyle Crockett"
"2881",4,112,"JR","RF","Fort Mill High School (Fort Mill, SC)",2013,"Miami Marlins","K.J. Woods"
"2882",4,113,"JR","RHP","Lee University",2013,"Boston Red Sox","Myles Smith"
"2883",4,114,"JR","C","Georgia Institute of Technology",2013,"Kansas City Royals","Zane Evans"
"2884",4,115,"JR","LHP","Mary G Montgomery High School (Semmes, AL)",2013,"Toronto Blue Jays","Evan Smith"
"2885",4,116,"JR","2B","University of Connecticut",2013,"New York Mets","L.J. Mazzilli"
"2886",4,117,"JR","LHP","St. John's University",2013,"Seattle Mariners","Ryan Horstman"
"2887",4,118,"JR","CF","Rocky Mountain High School (Meridian, ID)",2013,"San Diego Padres","Mason Smith"
"2888",4,119,"JR","LHP","Sam Houston State University",2013,"Pittsburgh Pirates","Cody Dickson"
"2889",4,120,"JR","CF","Riverdale Baptist School (Columbia, MD)",2013,"Arizona Diamondbacks","Matt McPhearson"
"2890",4,121,"JR","C","Garces Memorial High School (Bakersfield, CA)",2013,"Philadelphia Phillies","Jake Sweaney"
"2891",4,122,"JR","RHP","Kent State University",2013,"Milwaukee Brewers","Taylor Williams"
"2892",4,123,"JR","RHP","Texas Christian University",2013,"Chicago White Sox","Andrew Mitchell"
"2893",4,124,"JR","1B","Hamilton High School (Chandler, AZ)",2013,"Los Angeles Dodgers","Cody Bellinger"
"2894",4,125,"JR","2B","Louisiana State University",2013,"St. Louis Cardinals","Mason Katz"
"2895",4,126,"JR","RHP","Rice",2013,"Detroit Tigers","Austin Kubitza"
"2896",4,127,"JR","RHP","Pierce College",2013,"Los Angeles Angels","Elliot Morris"
"2897",4,128,"JR","2B","Waiakea High School (Hilo, HI)",2013,"Tampa Bay Rays","Kean Wong"
"2898",4,129,"JR","C","Amherst High School (Amherst, NY)",2013,"Baltimore Orioles","Jonah Heim"
"2899",4,130,"JR","SS","Mid-Pacific Institute (Honolulu, HI)",2013,"Texas Rangers","Isaiah Kiner-Falefa"
"2900",4,131,"JR","RHP","University of San Diego",2013,"San Diego Padres","Dylan Covey"
"2901",4,132,"JR","1B","Stanford University",2013,"San Francisco Giants","Brian Ragira"
"2902",4,133,"JR","C","Malden High School (Malden, MO)",2013,"Atlanta Braves","Tanner Murphy"
"2903",4,134,"JR","SS","Murrieta Valley High School (Murrieta, CA)",2013,"New York Yankees","Tyler Wade"
"2904",4,135,"JR","RHP","University of Central Florida",2013,"Cincinnati Reds","Ben Lively"
"2905",4,136,"JR","RHP","New Mexico Junior College",2013,"Washington Nationals","Nicholas Pivetta"
"2906",5,137,"JR","2B","Vanderbilt University",2013,"Houston Astros","Tony Kemp"
"2907",5,138,"JR","RHP","Texas Tech University",2013,"Chicago Cubs","Trey Masek"
"2908",5,139,"JR","RHP","Middle Georgia",2013,"Colorado Rockies","Blake Shouse"
"2909",5,140,"JR","RHP","Indiana University",2013,"Minnesota Twins","Aaron Slegers"
"2910",5,141,"JR","LHP","Ida S. Baker High School (Cape Coral, FL)",2013,"Cleveland Indians","Sean Brady"
